House,Class_1,Class_2,Theta_0,Theta_1,Theta_2
Ravenclaw,Arithmancy,Muggle Studies,-0.006988072977435494,-8.384086451699384e-05,0.012960323459376477
Ravenclaw,Arithmancy,Charms,-0.006988073099845575,-8.126109500246357e-05,0.012424381902071131
Ravenclaw,Astronomy,Herbology,-0.00698807310393024,-0.009008044237405106,0.006576328117982831
Ravenclaw,Astronomy,Divination,-0.006988072868917205,-0.009014838135329075,0.003829672682343929
Ravenclaw,Astronomy,Muggle Studies,-0.006988073257560438,-0.008977121732655385,0.012939205457202974
Ravenclaw,Astronomy,Ancient Runes,-0.0069880733065930635,-0.009000593795682162,0.008451046371400341
Ravenclaw,Astronomy,Charms,-0.006988073421180372,-0.00898156493929462,0.012405582510163703
Ravenclaw,Herbology,Defense Against the Dark Arts,-0.00698807310393024,0.006576328117982831,0.009008044237405106
Ravenclaw,Herbology,Muggle Studies,-0.006988073248984483,0.006552926855040563,0.012948818760344951
Ravenclaw,Herbology,Ancient Runes,-0.006988073074309665,0.00657739888818222,0.00845981344452506
Ravenclaw,Defense Against the Dark Arts,Divination,-0.006988072868917205,0.009014838135329075,0.003829672682343929
Ravenclaw,Defense Against the Dark Arts,Muggle Studies,-0.006988073257560438,0.008977121732655385,0.012939205457202974
Ravenclaw,Defense Against the Dark Arts,Ancient Runes,-0.0069880733065930635,0.009000593795682162,0.008451046371400341
Ravenclaw,Defense Against the Dark Arts,Charms,-0.006988073421180372,0.008981564939294622,0.012405582510163703
Ravenclaw,Divination,Muggle Studies,-0.006988073064915858,0.0037997177674440785,0.01295657733402036
Ravenclaw,Divination,Charms,-0.006988073322485821,0.0037932191636449743,0.012418507012974585
Ravenclaw,Muggle Studies,Ancient Runes,-0.0069880731927605385,0.012941346391735718,0.008429330956991063
Ravenclaw,Muggle Studies,History of Magic,-0.006988073144646273,0.012955646162265973,0.003918716292362553
Ravenclaw,Muggle Studies,Transfiguration,-0.006988073106180837,0.012955685857617564,0.004124493006569176
Ravenclaw,Muggle Studies,Potions,-0.006988073032371603,0.012957857000459176,0.0029973845982075088
Ravenclaw,Muggle Studies,Care of Magical Creatures,-0.006988072978975138,0.012960215782067332,0.0006355786685803736
Ravenclaw,Muggle Studies,Charms,-0.006988072942667156,0.012918261309778188,0.012380513765975168
Ravenclaw,Muggle Studies,Flying,-0.006988073035739001,0.012958449409356636,-0.0023963181480577325
Ravenclaw,Ancient Runes,Charms,-0.006988073125817699,0.008441203690789595,0.012412668165206807
Ravenclaw,History of Magic,Charms,-0.006988073463270527,0.003907616478961162,0.012416027479018318
Ravenclaw,Transfiguration,Charms,-0.0069880735038854586,0.004112046046847475,0.012415439247031255
Ravenclaw,Potions,Charms,-0.006988073193136335,0.0029954943376664872,0.012421370485636199
Ravenclaw,Care of Magical Creatures,Charms,-0.006988073103971872,0.0006349616622232778,0.01242425495204931
Ravenclaw,Charms,Flying,-0.006988073258713767,0.01242104032057681,-0.00238901782211444
Slytherin,Arithmancy,Divination,-0.01022117046817259,-9.204189647404252e-05,-0.011247769321769028
Slytherin,Astronomy,Herbology,-0.010221170540629768,-0.005943695916265487,-0.006704800211351772
Slytherin,Astronomy,Divination,-0.010221170696099876,-0.005922809835999992,-0.01123649213929564
Slytherin,Herbology,Defense Against the Dark Arts,-0.010221170540629768,-0.006704800211351773,0.0059436959162654885
Slytherin,Herbology,Divination,-0.010221170637673777,-0.006680685122233838,-0.011233157593153218
Slytherin,Herbology,Ancient Runes,-0.010221170479324374,-0.006706273749609713,-0.005115873400300103
Slytherin,Herbology,Potions,-0.01022117056780963,-0.006702741321822463,0.006619479864731874
Slytherin,Herbology,Flying,-0.010221170355607465,-0.0067113288560962615,-0.005504328508058124
Slytherin,Defense Against the Dark Arts,Divination,-0.010221170696099876,0.005922809835999993,-0.01123649213929564
Slytherin,Divination,Muggle Studies,-0.010221170551529503,-0.011244720756671394,-0.00307582930413958
Slytherin,Divination,Ancient Runes,-0.010221170652796806,-0.011239128576889107,-0.005095471020358828
Slytherin,Divination,History of Magic,-0.010221170519007595,-0.011246049905196318,0.0025567171920045113
Slytherin,Divination,Transfiguration,-0.010221170504711066,-0.011245831964564149,0.0028674124338241513
Slytherin,Divination,Potions,-0.010221170631254509,-0.011234978133533764,0.006600246894513462
Slytherin,Divination,Care of Magical Creatures,-0.01022117046765957,-0.011247755370514584,-0.00013955781519097232
Slytherin,Divination,Charms,-0.010221170601147796,-0.011241274647832816,-0.004168719620161475
Slytherin,Divination,Flying,-0.01022117064287983,-0.011239015336015352,-0.005478954876107178
Gryffindor,Arithmancy,History of Magic,-0.009279244462389655,1.6434373226250983e-05,-0.011592465189947852
Gryffindor,Arithmancy,Transfiguration,-0.009279244420830004,1.9255833584587473e-05,-0.011757834300808788
Gryffindor,Arithmancy,Flying,-0.009279244491196053,2.6929829322386978e-05,0.011239569908098974
Gryffindor,Astronomy,Herbology,-0.009279244492886675,0.005672127565600514,-0.0075061962074858095
